No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1071,厚型,A,MS-hi105-1000-厚型-A,PHC,1000,150,105,60,2.00,4.0,40000,1920,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,400600,408200,38061920000,380.0,456.0,837.0,1138.0,510.0,660.0,880.0,10614.0,9.0,30
1072,特厚型,A,MS-hi105-1000-特厚型-A,PHC,1000,170,105,60,2.00,4.0,40000,2355,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,443300,452700,40705850000,407.0,488.0,895.0,1377.0,568.0,735.0,981.0,11770.0,10.0,30
1073,標準型,B,MS-hi105-1000-標準型-B,PHC,1000,130,105,60,4.00,8.0,40000,3611,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,355300,369800,35797870000,715.0,858.0,1073.0,2069.0,598.0,757.0,980.0,8136.0,10.0,46
1074,厚型,B2,MS-hi105-1000-厚型-B2,PHC,1000,150,105,60,3.75,7.5,40000,3611,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,400600,415000,38731640000,728.0,872.0,1125.0,2064.0,661.0,837.0,1086.0,9326.0,10.0,46
1075,特厚型,B,MS-hi105-1000-特厚型-B,PHC,1000,170,105,60,4.00,8.0,40000,4600,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,443300,461700,41594980000,831.0,998.0,1247.0,2578.0,756.0,956.0,1238.0,10157.0,11.2,46
1076,標準型,C,MS-hi105-1000-標準型-C,PHC,1000,130,105,60,5.00,10.0,40000,4600,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,355300,373700,36189560000,904.0,1085.0,1230.0,2597.0,660.0,830.0,1067.0,7475.0,11.2,46
1077,厚型,C2,MS-hi105-1000-厚型-C2,PHC,1000,150,105,60,4.70,9.4,40000,4600,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,400600,419000,39123330000,918.0,1102.0,1282.0,2588.0,728.0,917.0,1181.0,8633.0,11.2,46
1078,特厚型,C,MS-hi105-1000-特厚型-C,PHC,1000,170,105,60,5.00,10.0,40000,5750,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,443300,466300,42050440000,1051.0,1261.0,1429.0,3174.0,834.0,1049.0,1348.0,9326.0,12.6,46
1079,標準型,A,MS-hi105-1100-標準型-A,PHC,1100,140,105,60,2.00,4.0,40000,2200,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,422200,431000,50731760000,461.0,553.0,1014.0,1439.0,534.0,691.0,922.0,11206.0,11.2,22
1080,厚型,A,MS-hi105-1100-厚型-A,PHC,1100,160,105,60,2.00,4.0,40000,2200,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,472500,481300,54755560000,497.0,597.0,1095.0,1441.0,601.0,777.0,1037.0,12514.0,11.2,22
